Year;Document Type;Link
2024;Annual Report;https://assets.ing.com/m/6e8ace8ade094690/original/Annual-report-2024.pdf
2024;Full Year Results;https://newsroom.ing.be/ing-continues-to-deliver-strong-growth-in-2024-reinforcing-its-commitment-to-customers-and-society
2024;Half Year Results;https://newsroom.ing.be/ing-belgium-builds-on-strong-results-with-608-million-profit-after-first-half-of-2024
2024;Pillar 3 Disclosures;https://assets.ing.com/m/5f710bfeff3364d0/original/ING-BE-Pillar-3-Disclosures-Q4-2024.xlsx
2024;Pillar 3 Additional Disclosure;https://assets.ing.com/m/42e3b0d86ac55855/original/ING-Belgium-Additional-Pillar-III-Report-2024.pdf
2023;Annual Report;http://assets.ing.com/m/38b726ce41627db/original/EN-2023-ING-Belgium-SA-NV-Annual-report.pdf
2023;Full Year Results;http://newsroom.ing.be/strong-results-also-reflect-positively-on-customers-the-economy-and-society
2023;Half Year Results;http://newsroom.ing.be/ing-belgium-closes-strong-half-year-with-over-half-a-billion-euros-in-pre-tax-profit
2023;Pillar 3 Disclosures;https://assets.ing.com/m/79c659dbd812e932/original/ING-BE-Pillar-3-Disclosures-Q4-2023.xlsx
2023;Pillar 3 Additional Disclosure;http://assets.ing.com/m/138d1df935c37a6d/original/ING-Belgium-Additional-Pillar-III-Report-2023.pdf
2022;Annual Report;https://assets.ing.com/m/68cd8d3b05d86ecf/original/2022-Annual-Report-ING-Belgium-SA.pdf
2022;Full Year Results;https://newsroom.ing.be/ing-belgium-posts-solid-results-in-challenging-economic-environment-underlying-profit-of-796-million-before-tax
2022;Half Year Results;https://newsroom.ing.be/ing-belgiums-franchise-shows-its-strength-amid-difficult-market-conditions-in-the-first-half-of-2022-recording-a-294-million-profit-before-tax-excl-one-offs
2022;Pillar 3 Disclosures;https://assets.ing.com/m/6ce68bbaa2a79d13/original/2022-ING-Belgium-Pillar-III-Disclosures-4Q.xlsx
2022;Pillar 3 Additional Disclosure;https://assets.ing.com/m/33c0a375bcb9138f/original/2022-ING-Belgium-Pillar-III-Additional-Disclosure.pdf
2021;Annual Report;https://assets.ing.com/m/44ec4a2eb627b6e4/original/2021-Annual-report-ING-Belgium-SANV.pdf
2021;Full Year Results;https://newsroom.ing.be/2021-full-year-results-ing-in-belgium-sees-revenues-rise-above-3-billion-and-posts-nearly-950-million-profit
2021;Half Year Results;https://newsroom.ing.be/half-year-results-2021-ing-belgium-posts-strong-pre-tax-result-of-almost-350-million-euros
2021;Pillar 3 Disclosures Q1;https://assets.ing.com/m/1b95f821bd2bc0cc/original/2021-ING-Belgium-Pillar-III-Disclosures-1Q.xlsx
2021;Pillar 3 Disclosures Q2;https://assets.ing.com/m/362f3cfe7ce92619/original/2021-ING-Belgium-Pillar-III-Disclosures-2Q.xlsx
2021;Pillar 3 Disclosures Q3;https://assets.ing.com/m/1cccdb7e18606501/original/2021-ING-Belgium-Pillar-III-Disclosures-3Q.xlsx
2021;Pillar 3 Disclosures Q4;https://assets.ing.com/m/3e95b1f2f3d00a3d/original/2021-ING-Belgium-Pillar-III-Disclosures-4Q.xlsx
2021;Pillar 3 Additional Disclosure;https://assets.ing.com/m/76df437a8635465f/original/2021-ING-Belgium-Pillar-III-Additional-Disclosure.pdf
2020;Annual Report;https://assets.ing.com/m/705f909b50f25c5a/original/2020-Annual-report-ING-Belgium-SANV.pdf
2020;Full Year Results;https://newsroom.ing.be/full-year-2020-results-ing-belgium-posts-profit-while-increasing-loan-loss-provisions
2020;Half Year Results;https://assets.ing.com/m/4bea36bf898de95a/original/2020-Half-Year-Results.pdf
2020;Pillar 3 Disclosures Q1;https://assets.ing.com/m/39fed82e6fce073/original/2020-ING-Belgium-Pillar-III-Disclosures-1Q.xlsx
2020;Pillar 3 Disclosures Q2;https://assets.ing.com/m/1ba287e560c6b5fc/original/2020-ING-Belgium-Pillar-III-Disclosures-2Q.xlsx
2020;Pillar 3 Disclosures Q3;https://assets.ing.com/m/2fea9ad9d334f9b3/original/2020-ING-Belgium-Pillar-III-Disclosures-3Q.xlsx
2020;Pillar 3 Disclosures Q4;https://assets.ing.com/m/327c53239d596258/original/2020-ING-Belgium-Pillar-III-Disclosures-4Q.xlsx
2020;Pillar 3 Additional Disclosure;https://assets.ing.com/m/5058c8c8736cd0ab/original/2020-ING-Belgium-Pillar-III-Additional-Disclosures.pdf
2019;Annual Report;https://assets.ing.com/m/a9c76d878f9bce7/original/2019-Annual-report-ING-Belgium-SANV.pdf
2019;Full Year Results;https://newsroom.ing.be/annual-results-ing-belgium-2019-more-than-1-in-2-clients-manage-their-bank-transactions-via-smartphone-or-pc
2019;Half Year Results;https://newsroom.ing.be/ing-belgiums-results-for-first-half-of-2019
2019;Pillar 3 Disclosures Q1;https://assets.ing.com/m/7c9e1fb5e856032f/original/2019-ING-Belgium-Pillar-III-Disclosures-1Q.xlsx
2019;Pillar 3 Disclosures Q2;https://assets.ing.com/m/89c70087e3ef60/original/2019-ING-Belgium-Pillar-III-Disclosures-2Q.xlsx
2019;Pillar 3 Disclosures Q3;https://assets.ing.com/m/50e6fcdb6630fb40/original/2019-ING-Belgium-Pillar-III-Disclosures-3Q.xlsx
2019;Pillar 3 Disclosures Q4;https://assets.ing.com/m/60b14318991d1de3/original/2019-ING-Belgium-Pillar-III-Disclosures-4Q.xlsx
2019;Pillar 3 Additional Disclosure;https://assets.ing.com/m/381a9e0e9290c212/original/2019-ING-Belgium-Pillar-III-Additional-Disclosures.pdf
2018;Annual Report;https://assets.ing.com/m/34995a3bd3ed078c/original/2018-Annual-report-ING-Belgium-SA-NV.pdf
2018;Full Year Results;https://newsroom.ing.be/full-year-results-2018-ing-belgium#
2018;Half Year Results;https://newsroom.ing.be/ing-belux-half-year-results-2018
2018;Pillar 3 Disclosures Q1;https://assets.ing.com/m/54fe87d3b0a765c9/original/2018-ING-Belgium-Pillar-III-Disclosures-1Q.xlsx
2018;Pillar 3 Disclosures Q2;https://assets.ing.com/m/6dda381d8adec08/original/2018-ING-Belgium-Pillar-III-Disclosures-3Q.xlsx
2018;Pillar 3 Disclosures Q3;https://assets.ing.com/m/6dda381d8adec08/original/2018-ING-Belgium-Pillar-III-Disclosures-3Q.xlsx
2018;Pillar 3 Disclosures Q4;https://assets.ing.com/m/2373a5d791426625/original/2018-ING-Belgium-Pillar-III-Disclosures-4Q.xlsx
2018;Pillar 3 Additional Disclosure;https://assets.ing.com/m/6da87f625131976e/original/2018-ING-Belgium-Pillar-III-Additional-Disclosures.pdf
2017;Annual Report;https://assets.ing.com/m/4ec620e47b9d4f58/original/2017-Annual-report-ING-Belgium-SA-NV.pdf
2017;Full Year Results;https://newsroom.ing.be/ing-belux-full-year-results-2017
2017;Full Year Results Presentation;https://assets.ing.com/m/286ce1ee7222c27/original/2017-Full-year-Results-presentation.pdf
2017;Half Year Results;https://newsroom.ing.be/ing-belux-half-year-results-2017
2017;Pillar 3 Disclosures;https://assets.ing.com/m/7bc3b727768fb417/original/2017-ING-Belgium-Pillar-III-Disclosures-4Q.xlsx
2017;Pillar 3 Additional Disclosure;https://assets.ing.com/m/6c5a212a93cbfb6a/original/2017-ING-Belgium-Pillar-III-Additional-Disclosures.pdf
2016;Annual Report;https://assets.ing.com/m/4ff8485c5d539545/original/2016-Annual-report-ING-Belgium-SA-NV.pdf
2016;Full Year Results;https://newsroom.ing.be/ing-belux-full-year-results-2016
2016;Half Year Results;https://newsroom.ing.be/financial-half-year-results-2016-167693
2016;Half Year Results Presentation;https://assets.ing.com/m/3ef8e1ed291902e/original/2016-Half-Year-Results.pdf
